customer_id;account_number;phone_number;full_name;email;aadhar_number;pancard_number;birthdate;age;gender;marital_status;residential_status;form_60;form_sixty_ackge_no;category;nominee;verify;fax;mob_1;mob_2;telephone;ckyc;refckyc;gstn;created_at;modified_at;enable
ee876444-47ba-46fb-b8d8-3f7fa2619e13;Keyboard circuit;Operations Diesel;yellow deposit female;Myrtis51@gmail.com;Cheese Country;North Polygender yellow;Trans amid;31730;unleash nulla;override Northwest Kia;Product Southeast bitterly;digital until Robust;South;parse Licensed Bugatti;Division parallelism;man;Visionary wan;modular South;Synchronised;898-355-4487;input West;Soft Hyundai Berkshire;blue;2023-09-27;2023-09-27;true
c7ec9f36-485f-4e74-9fa0-a1dd4377c19c;Turkmenistan lux;Administrator Diesel Tactics;Regional Mountains Lawrencium;Martine.Greenfelder4@yahoo.com;Southwest Southeast Bike;payment;Granite;13646;syndicate hence Sausages;Nebraska boo sunt;Alaska;input Tugrik Southwest;facilis Guadeloupe;Southwest Soul;Legacy red Electric;intuitive Bike Rubber;Zinc Fish;Reactive;hertz withdrawal;(841) 885-8085 x542;Bicycle;withdrawal powerfully Hawaii;East Homenick North;2023-09-27;2023-09-27;false
09a9c579-fabe-4b6e-a5ca-685959354e3a;override Michigan;Northeast Books Automotive;Home Delaware;Ismael_Vandervort88@yahoo.com;Passenger Human;Nakfa deposit;Factors carelessly Hatchback;13277;coulomb azure Diesel;Operations Inverse Baby;Representative female Mobility;female matrix frictionless;invoice Plastic;oh killer mindshare;Cis defiantly;National positively;Southeast Bike;Congo;Coordinator;1-225-895-0851 x1139;lavender payment;South Paradigm;hard Concrete rummage;2023-09-27;2023-09-27;false
dcbfbd19-1e31-4243-829e-5eee40b989a9;Man Response;East Pop Pop;that;Enola_Grimes-Cormier7@gmail.com;Cambridgeshire North methodologies;asynchronous;modulo;32315;kilogram;Chief if Adventure;drive Sleek deposit;Platinum monitor;Nicaragua Mandatory;Southeast Northeast;Bermuda Tesla Creative;portals Zloty Ruthenium;Glens;Optional Polygender Lek;wherever beatae;(607) 477-6042 x2609;Metal Volvo Turner;Lead;Granite Auto Engineer;2023-09-28;2023-09-28;true
0fb51675-1209-45f5-91ad-b028a8f5ee0f;empower Northeast;payment engineer;primary project Solutions;Pinkie90@yahoo.com;weber unblock;and Digitized oh;auxiliary;31028;Northwest;indexing Reggae Jewelery;Gender South South;Netherlands dolorum;Strategist;Frozen;after;synthesize;Hybrid coulomb Investor;hack;Customer Wyman;1-555-945-7310 x89793;Electronic;Agent Home;Hybrid Transmasculine Games;2023-09-28;2023-09-27;true
cbe79bad-8519-4632-8f07-6ea24a00a92a;female denominate Account;bah actually Intersex;male Liberia;Aliyah.Rolfson43@hotmail.com;dolorem;bolívar Legacy Nobelium;joule;21672;female coulomb;Web vice Industrial;granola violet Ethiopian;Saint;naturally uncomfortable;worth helplessly;Consultant;Functionality York Minivan;silver Ohio;Savings;Bicycle Ball neutral;716-222-5984 x793;Steel Cambodia Consultant;grey;for man;2023-09-28;2023-09-27;true
e0fb543c-bbb5-4829-a145-a4a986bd8a63;Mill port;deposit Maryland molestias;Orchestrator odio;Mose_Rodriguez15@gmail.com;Gasoline matrix Mongolia;Director reprehenderit;Terrace synthesizing;16636;Franc up;rapidly;male;Bespoke Wooden Langosh;Tuna;Auto Director female;frame Reggae;collaboration Marketing Assistant;neural joule Ytterbium;where;Account;735.311.2178 x3229;payment;Pound;International ivory monitor;2023-09-27;2023-09-27;true
29221504-ef90-436b-bdd0-5f18b9dd2e37;Checking;Global Directives magenta;presuppose;Maia_Bartell10@yahoo.com;Principal;Bicycle East blissfully;Passenger early immigrant;558;interface Berkshire purple;purple feed distributed;transmitting Crew Bacon;degree Computers;Jeep;Identity Hybrid City;Marshall Computer transmit;hmph Generic;Credit;Southeast porro phooey;Swiss;(716) 559-8383 x27413;Soft;Locks monitor;Minnesota Industrial networks;2023-09-27;2023-09-27;false
73d94805-8372-45dc-819b-732d82a8532f;Junction white;Engineer;harum Electronic;Novella41@yahoo.com;port;bifurcated Optimization turquoise;thoughtfully;21642;Sports;read Hybrid;salmon;admire Computer;Rolls;Rutherfordium;female B2C magenta;Northeast programming;neural mole strip;Executive;Grocery deposit sky;743-470-6716 x57699;kelvin coulomb coast;connecting Passenger mollitia;forearm bluetooth red;2023-09-28;2023-09-27;true
2b6f977b-0b06-450e-baac-5ded63cfdbac;Cis Designer;Home Lamborghini;Strontium Dollar Steel;Emilie92@yahoo.com;Porsche Northeast;Arizona background;Soul Designer;928;invoice;Dollar female;Porsche;behind Soap Rolls;engage hub Sedan;Passenger Principal graceful;Fantastic Oriental Demiflux;Ergonomic;target systems;Alabama rapid;Rubber snoopy;1-259-823-3076 x7114;Bacon Southwest Cambridgeshire;mobile West;backing male Small;2023-09-27;2023-09-28;true
